player,team,position,career_goals,total_seasons,la_liga_titles,cl_titles,ballon_dor_wins
Luis Suárez,Barcelona,,40,1,1,0,1
Cristiano Ronaldo,Real Madrid,,40,1,0,0,5
Baltazar,Atlético Madrid,,35,1,0,0,0
Lionel Messi,Barcelona,,34,1,1,0,8
Ronaldo,Barcelona,,34,1,0,0,2
Mariano Martín,Barcelona,,32,1,0,0,0
Kylian Mbappé,Real Madrid,,31,1,0,0,0
Juan Antonio Pizzi,Tenerife,,31,1,0,0,0
Romário,Barcelona,,30,1,1,0,0
Pruden,Atlético Madrid,,30,1,0,0,0
Bebeto,Deportivo La Coruña,,29,1,0,0,0
Hans Krankl,Barcelona,,29,1,0,0,0
Roy Makaay,Deportivo La Coruña,,29,1,0,0,0
Juan Arza,Sevilla,,28,1,0,0,0
César,Barcelona,,28,1,1,0,0
Iván Zamorano,Real Madrid,,28,1,1,0,0
Bata,Athletic Club,,27,1,1,0,0
Mundo,Valencia,,27,1,1,0,0
Salva,Racing Santander,,27,1,0,0,0
Alfredo Di Stéfano,Real Madrid,,27,1,1,0,2
Isidro Lángara,Oviedo,,27,1,0,0,0
Karim Benzema,Real Madrid,,27,1,1,0,1
Dani Güiza,Mallorca,,27,1,0,0,0
Manolo,Atlético Madrid,,27,1,0,0,0
Samuel Eto'o,Barcelona,,26,1,1,0,0
Ferenc Puskás,Real Madrid,,26,1,0,0,0
Diego Forlán,Villarreal,,25,1,0,0,0
Juan Seminario,Zaragoza,,25,1,0,0,0
Cayetano Ré,Barcelona,,25,1,0,0,0
Ruud van Nistelrooy,Real Madrid,,25,1,1,0,0
Raúl,Real Madrid,,25,1,0,0,0
Mario Kempes,Valencia,,24,1,0,0,0
Waldo,Valencia,,24,1,0,0,0
Artem Dovbyk,Girona,,24,1,0,0,0
Christian Vieri,Atlético Madrid,,24,1,0,0,0
Pahiño,Celta Vigo,,23,1,0,0,0
Robert Lewandowski,Barcelona,,23,1,1,0,0
Fidel Uriarte,Athletic Club,,22,1,0,0,0
Diego Tristán,Deportivo La Coruña,,21,1,0,0,0
Enrique Porta,Granada,,20,1,0,0,0
Poli Rincón,Real Betis,,20,1,0,0,0
Victorio Unamuno,Athletic Club,,20,1,0,0,0
Quini,Sporting Gijón,,20,1,0,0,0
Emilio Butragueño,Real Madrid,,19,1,0,0,0
Carlos,Athletic Club,,19,1,0,0,0
Marianín,Oviedo,,19,1,0,0,0
Ricardo Alós,Valencia,,19,1,0,0,0
Manuel Badenes,Valladolid,,19,1,0,0,0
Vavá II,Elche,,19,1,0,0,0
Telmo Zarra,Athletic Club,,19,1,0,0,0
Guillermo Gorostiza,Athletic Club,,19,1,1,0,0
Hugo Sánchez,Atlético Madrid,,19,1,0,0,0
Jorge da Silva,Valladolid,,17,1,0,0,0
Carles Rexach,Barcelona,,17,1,0,0,0
Juanito,Real Madrid,,17,1,0,0,0
Manuel Olivares,Real Madrid,,16,1,0,0,0
Luis Aragonés,Atlético Madrid,,16,1,1,0,0
José Eulogio Gárate,Atlético Madrid,,14,1,0,0,0
Amancio,Real Madrid,,14,1,1,0,0
Paco Bienzobas,Real Sociedad,,14,1,0,0,0
Stanley Matthews,Blackpool,,0,0,0,0,1
Raymond Kopa,Real Madrid,,0,0,0,0,1
Billy Wright,Wolverhampton Wanderers,,0,0,0,0,0
Helmut Rahn,Rot-Weiss Essen,,0,0,0,0,0
Just Fontaine,Reims,,0,0,0,0,0
John Charles,Juventus,,0,0,0,0,0
Uwe Seeler,Hamburger SV,,0,0,0,0,0
Omar Sívori,Juventus,,0,0,0,0,1
Johnny Haynes,Fulham,,0,0,0,0,0
Josef Masopust,Dukla Prague,,0,0,0,0,1
Eusébio,Benfica,,0,0,0,0,1
Karl-Heinz Schnellinger,1. FC Köln,,0,0,0,0,0
Lev Yashin,Dynamo Moscow,,0,0,0,0,1
Gianni Rivera,Milan,,0,0,0,0,1
Jimmy Greaves,Tottenham Hotspur,,0,0,0,0,0
Denis Law,Manchester United,,0,0,0,0,1
Giacinto Facchetti,Inter Milan,,0,0,0,0,0
Bobby Charlton,Manchester United,,0,0,0,0,1
Franz Beckenbauer,Bayern Munich,,0,0,0,0,2
Flórián Albert,Ferencváros,,0,0,0,0,1
Jimmy Johnstone,Celtic,,0,0,0,0,0
George Best,Manchester United,,0,0,0,0,1
Dragan Džajić,Red Star Belgrade,,0,0,0,0,0
Gigi Riva,Cagliari,,0,0,0,0,0
Gerd Müller,Bayern Munich,,0,0,0,0,1
Bobby Moore,West Ham United,,0,0,0,0,0
Johan Cruyff (1),Ajax,,0,0,0,0,3
Sandro Mazzola,Inter Milan,,0,0,0,0,0
Dino Zoff,Juventus,,0,0,0,0,0
Kazimierz Deyna,Legia Warsaw,,0,0,0,0,0
Oleg Blokhin,Dynamo Kyiv,,0,0,0,0,1
Rob Rensenbrink,Anderlecht,,0,0,0,0,0
Ivo Viktor,Dukla Prague,,0,0,0,0,0
Allan Simonsen,Borussia Mönchengladbach,,0,0,0,0,1
Kevin Keegan,Hamburger SV,,0,0,0,0,2
Michel Platini,Nancy,,0,0,0,0,3
Karl-Heinz Rummenigge,Bayern Munich,,0,0,0,0,2
Ruud Krol,Ajax,,0,0,0,0,0
Bernd Schuster,Barcelona,,0,0,0,0,0
Paul Breitner,Bayern Munich,,0,0,0,0,0
Paolo Rossi,Juventus,,0,0,0,0,1
Alain Giresse,Bordeaux,,0,0,0,0,0
Zbigniew Boniek,Juventus,,0,0,0,0,0
Kenny Dalglish,Liverpool,,0,0,0,0,0
Jean Tigana,Bordeaux,,0,0,0,0,0
Preben Elkjær,Hellas Verona,,0,0,0,0,0
Igor Belanov,Dynamo Kyiv,,0,0,0,0,1
Gary Lineker,Barcelona,,0,0,0,0,0
Ruud Gullit,Milan,,0,0,0,0,1
Paulo Futre,Atlético Madrid,,0,0,0,0,0
Marco van Basten (1),Milan,,0,0,0,0,3
Frank Rijkaard,Milan,,0,0,0,0,0
Franco Baresi,Milan,,0,0,0,0,0
Lothar Matthäus,Inter Milan,,0,0,0,0,1
Salvatore Schillaci,Juventus,,0,0,0,0,0
Andreas Brehme,Inter Milan,,0,0,0,0,0
Jean-Pierre Papin,Marseille,,0,0,0,0,1
Hristo Stoichkov,Barcelona,,0,0,0,0,1
Dennis Bergkamp,Ajax,,0,0,0,0,0
Roberto Baggio,Juventus,,0,0,0,0,1
Eric Cantona,Manchester United,,0,0,0,0,0
Paolo Maldini,Milan,,0,0,0,0,0
George Weah,Milan,,0,0,0,0,1
Jürgen Klinsmann,Bayern Munich,,0,0,0,0,0
Jari Litmanen,Ajax,,0,0,0,0,0
Matthias Sammer,Borussia Dortmund,,0,0,0,0,1
Alan Shearer,Newcastle United,,0,0,0,0,0
Predrag Mijatović,Real Madrid,,0,0,0,0,0
Zinedine Zidane,Juventus,,0,0,0,0,1
Davor Šuker,Real Madrid,,0,0,0,0,0
Rivaldo,Barcelona,,0,0,0,0,1
David Beckham,Manchester United,,0,0,0,0,0
Andriy Shevchenko,Milan,,0,0,0,0,1
Luís Figo,Real Madrid,,0,0,0,0,1
Michael Owen,Liverpool,,0,0,0,0,1
Oliver Kahn,Bayern Munich,,0,0,0,0,0
Roberto Carlos,Real Madrid,,0,0,0,0,0
Pavel Nedvěd,Juventus,,0,0,0,0,1
Thierry Henry,Arsenal,,0,0,0,0,0
Deco,Barcelona,,0,0,0,0,0
Ronaldinho,Barcelona,,0,0,0,0,1
Frank Lampard,Chelsea,,0,0,0,0,0
Steven Gerrard,Liverpool,,0,0,0,0,0
Fabio Cannavaro,Real Madrid,,0,0,0,0,1
Gianluigi Buffon,Juventus,,0,0,0,0,0
Kaká,Milan,,0,0,0,0,1
Fernando Torres,Liverpool,,0,0,0,0,0
Xavi,Barcelona,,0,0,0,0,0
Andrés Iniesta,Barcelona,,0,0,0,0,0
Franck Ribéry,Bayern Munich,,0,0,0,0,0
Manuel Neuer,Bayern Munich,,0,0,0,0,0
Neymar,Barcelona,,0,0,0,0,0
Antoine Griezmann,Atlético Madrid,,0,0,0,0,0
Luka Modrić,Real Madrid,,0,0,0,0,1
Virgil van Dijk,Liverpool,,0,0,0,0,0
Jorginho,Chelsea,,0,0,0,0,0
Sadio Mané,Bayern Munich,,0,0,0,0,0
Kevin De Bruyne,Manchester City,,0,0,0,0,0
Erling Haaland,Manchester City,,0,0,0,0,0
Rodri,Manchester City,,0,0,0,0,1
Vinícius Júnior,Real Madrid,,0,0,0,0,0
Jude Bellingham,Real Madrid,,0,0,0,0,0
Ousmane Dembélé,Paris Saint-Germain,,0,0,0,0,1
Lamine Yamal,Barcelona,,0,0,0,0,0
Vitinha,Paris Saint-Germain,,0,0,0,0,0
